Andora;42.5;1.5
Armēnija;40.16;44.47
Austrija;47.6928623;12.2247575
Azerbaidžāna;40.1489733;46.5711537
Baltkrievija;53.6992597;25.7354082
Beļģija;50.4974444;3.3557995
Bosnija un Hercegovina;43.9130386;16.5511353
Bulgārija;42.7218923;24.3622768
Čehija;49.8001305;14.3539574
Dānija;56.1382545;8.1908358
Francija;46.1355006;-2.2778699
Grieķija;38.2578607;21.5672488
Gruzija;42.3173564;42.2503303
Horvātija;44.4534586;14.2261764
Igaunija;59.3276939;24.6575773
Īrija;53.4098079;-10.5711461
Itālija;41.2135949;8.0852514
Jordānija;31.277343;36.00862
Kazahstāna;47.6695098;57.9368955
Kipra;35.169582;32.8765569
Kirgizstāna;41.2051781;72.4959083
Krievija;55.7204907;38.0950644
Lielbritānija;54.2542018;-6.7479713
Lietuva;55.1700284;22.7739044
Lihtenšteina;47.1595664;9.4135529
Luksemburga;49.8154049;5.8531443
Maķedonija;41.1166364;21.1149574
Maroka;31.7798318;-9.3280547
Melnkalne;42.7040658;18.8352279
Moldova;46.9767903;27.2686579
Nīderlande;52.2093654;4.1584408
Norvēģija;64.3135318;8.951184
Polija;51.9009877;16.8921038
Portugāle;39.5397705;-10.0966172
Rumānija;45.9261712;22.7668165
Slovākija;48.6688584;18.5750908
Slovēnija;46.1487659;14.425606
Somija;64.6541111;17.1371076
Spānija;40.1301594;-8.2017165
Šveice;46.8095953;7.1032237
Tadžikistāna;38.8410074;69.004991
Turcija;38.8798662;30.7525734
Turkmenistāna;38.9466077;57.3346112
Ukraina;48.3030411;26.6969217
Ungārija;47.157562;18.3847713
Uzbekistāna;41.3021613;60.0852519
Vācija;51.085168;5.9691361
Zviedrija;61.9190585;8.6288293